epoch,loss,lr,mae,mape,mse,val_loss,val_mae,val_mape,val_mse
16,2.181581315596759e-08,0.00025,6.960528844501823e-05,1.8252406120300293,2.181581315596759e-08,3.5347309079725164e-08,8.23648224468343e-05,1.2689701318740845,3.5347309079725164e-08
17,2.4051821867487888e-08,0.00025,7.14565030648373e-05,2.164153575897217,2.4051821867487888e-08,3.3910080077248494e-08,8.007232827367261e-05,1.1296807527542114,3.3910080077248494e-08
18,9.872716333347853e-08,0.00025,0.00012384439469315112,4.381838798522949,9.872716333347853e-08,3.3170774571544825e-08,8.577889093430713e-05,1.5550113916397095,3.3170774571544825e-08
19,1.3355040664464468e-06,0.00025,0.000408611522288993,22.204343795776367,1.3355040664464468e-06,3.555606653549148e-08,8.43975503812544e-05,1.083951711654663,3.555606653549148e-08
20,1.495768664483421e-08,0.00025,6.633072916883975e-05,2.309109926223755,1.495768664483421e-08,2.9797639911066653e-08,7.842299964977428e-05,1.1586205959320068,2.9797639911066653e-08
21,2.8887111369613194e-08,0.00025,9.173958096653223e-05,3.310157060623169,2.8887111369613194e-08,2.773411722500896e-08,7.122419629013166e-05,0.9625146985054016,2.773411722500896e-08
22,1.7932410401044763e-06,0.00025,0.0004722234152723104,22.883310317993164,1.7932410401044763e-06,3.7380250006435745e-08,8.509394683642313e-05,1.026686191558838,3.7380250006435745e-08
23,1.5412723541885498e-08,0.00025,6.446995394071564e-05,1.7077778577804565,1.5412723541885498e-08,2.8013566577556048e-08,7.262685539899394e-05,0.770551860332489,2.8013566577556048e-08
24,2.3491244505180475e-08,0.00025,8.315381273860112e-05,2.63691782951355,2.3491244505180475e-08,2.5399017999916396e-08,6.761151598766446e-05,0.8145928978919983,2.5399017999916396e-08
25,1.776670472963815e-07,0.00025,0.00014763721264898777,3.2413082122802734,1.776670472963815e-07,2.6311528955602626e-08,7.540427031926811e-05,1.2253410816192627,2.6311528955602626e-08
26,1.7931552065419964e-07,0.00025,0.00014291913248598576,3.1117193698883057,1.7931552065419964e-07,2.5310523454891154e-08,7.361121970461681e-05,1.1976414918899536,2.5310523454891154e-08
27,1.6985758577447996e-07,0.00025,0.0001422062487108633,3.162980556488037,1.6985758577447996e-07,2.4332532433390952e-08,7.14679408702068e-05,1.1265661716461182,2.4332532433390952e-08
28,1.948260859307993e-07,0.00025,0.0001395535800838843,2.2554357051849365,1.948260859307993e-07,2.3696031803410733e-08,6.954849231988192e-05,1.013458490371704,2.3696031803410733e-08
29,1.067103383434187e-07,0.00025,0.00012332382902968675,3.3160858154296875,1.067103383434187e-07,2.213565863939948e-08,6.429536733776331e-05,0.787900447845459,2.213565863939948e-08
30,9.837282277658232e-07,0.00025,0.0003862312587443739,24.666622161865234,9.837282277658232e-07,2.302136437037916e-08,6.558249151566997e-05,0.812798798084259,2.302136437037916e-08
31,5.863933338901006e-09,6.25e-05,3.837358235614374e-05,0.9066579341888428,5.863933338901006e-09,2.1985592013606947e-08,6.330073665594682e-05,0.8527891635894775,2.1985592013606947e-08
32,6.122080620230008e-09,6.25e-05,4.043840090162121e-05,1.0442370176315308,6.122080620230008e-09,2.095649875855088e-08,6.149632099550217e-05,0.8547557592391968,2.095649875855088e-08
33,6.199855739907889e-09,6.25e-05,4.1678158595459536e-05,1.3748966455459595,6.199855739907889e-09,2.0129709454863587e-08,5.964406591374427e-05,0.7811806201934814,2.0129709454863587e-08
34,7.404384216869175e-09,6.25e-05,4.4136704673292115e-05,1.171897053718567,7.404384216869175e-09,1.974294328022097e-08,5.910271283937618e-05,0.7569461464881897,1.974294328022097e-08
35,8.23335621902288e-09,6.25e-05,4.648433969123289e-05,1.4521474838256836,8.23335621902288e-09,1.985952380323397e-08,5.9150203014723957e-05,0.7731091976165771,1.985952380323397e-08
36,2.2377446384780342e-07,6.25e-05,0.0001472755684517324,3.492246389389038,2.2377446384780342e-07,1.9514127203024145e-08,5.8766028814716265e-05,0.8224035501480103,1.9514127203024145e-08
37,5.785381063105888e-09,6.25e-05,4.115617775823921e-05,1.6381134986877441,5.785381063105888e-09,1.89362268088189e-08,5.7287252275273204e-05,0.7731139659881592,1.89362268088189e-08
38,6.0720513062051396e-09,6.25e-05,3.980726978625171e-05,1.0449879169464111,6.0720513062051396e-09,1.8577571481159794e-08,5.685287760570645e-05,0.7544629573822021,1.8577571481159794e-08
39,9.55741619179662e-09,6.25e-05,4.7165922296699136e-05,1.140228033065796,9.55741619179662e-09,1.8524856315593752e-08,5.6582066463306546e-05,0.7658630609512329,1.8524856315593752e-08
40,1.1826033485817788e-08,6.25e-05,5.071637497167103e-05,1.3713643550872803,1.1826033485817788e-08,1.8325986061995536e-08,5.6705481256358325e-05,0.7667167782783508,1.8325986061995536e-08
41,8.039521048885945e-08,6.25e-05,8.997975965030491e-05,2.422072410583496,8.039521048885945e-08,1.8147325420159177e-08,5.6093580496963114e-05,0.7747527956962585,1.8147325420159177e-08
42,5.809104752785288e-09,6.25e-05,3.925203418475576e-05,1.018477201461792,5.809104752785288e-09,1.7611267111306006e-08,5.5304884881479666e-05,0.758355438709259,1.7611267111306006e-08
43,8.831129605368915e-09,6.25e-05,4.569343582261354e-05,1.1062883138656616,8.831129605368915e-09,1.757544509928266e-08,5.486810550792143e-05,0.7682153582572937,1.757544509928266e-08
44,1.3003997878513474e-08,6.25e-05,5.0998383812839165e-05,1.2369372844696045,1.3003997878513474e-08,1.739048016702327e-08,5.498764949152246e-05,0.7534964084625244,1.739048016702327e-08
45,2.0546448098457404e-08,6.25e-05,5.748343392042443e-05,1.291670322418213,2.0546448098457404e-08,1.696291462849331e-08,5.443604095489718e-05,0.7493629455566406,1.696291462849331e-08
46,3.837333117928665e-09,1.5625e-05,3.142102650599554e-05,0.8109266757965088,3.837333117928665e-09,1.6704953864632444e-08,5.337808761396445e-05,0.7845842242240906,1.6704953864632444e-08
47,4.732455316514006e-09,1.5625e-05,3.6434059438761324e-05,1.3663885593414307,4.732455316514006e-09,1.6611499731311596e-08,5.333088120096363e-05,0.8366675972938538,1.6611499731311596e-08
48,4.208629000856945e-09,1.5625e-05,3.241449667257257e-05,0.7390215992927551,4.208629000856945e-09,1.6514745126983144e-08,5.286080340738408e-05,0.7952491044998169,1.6514745126983144e-08
49,6.037363942112961e-09,1.5625e-05,3.717841173056513e-05,0.8726778030395508,6.037363942112961e-09,1.6399081204099275e-08,5.266421794658527e-05,0.7958563566207886,1.6399081204099275e-08
50,4.419535404309727e-09,1.5625e-05,3.340456896694377e-05,0.7947737574577332,4.419535404309727e-09,1.6343822295539212e-08,5.2532090194290504e-05,0.7997249960899353,1.6343822295539212e-08
51,6.013942233096259e-09,1.5625e-05,3.7222202081466094e-05,0.9176919460296631,6.013942233096259e-09,1.6219456000499122e-08,5.230359238339588e-05,0.7906901836395264,1.6219456000499122e-08
52,4.345157567087199e-09,1.5625e-05,3.320772520964965e-05,0.8015439510345459,4.345157567087199e-09,1.6164719340849842e-08,5.220602179178968e-05,0.8003096580505371,1.6164719340849842e-08
53,5.980935302574153e-09,1.5625e-05,3.714456033776514e-05,0.9459291696548462,5.980935302574153e-09,1.6043305350876835e-08,5.1974562666146085e-05,0.7885947227478027,1.6043305350876835e-08
54,4.276325515917279e-09,1.5625e-05,3.299690069979988e-05,0.7987239956855774,4.276325515917279e-09,1.5992323909586048e-08,5.1903287385357544e-05,0.8013479113578796,1.5992323909586048e-08
